IDSIM	TGBD	TGKT
S01	18/01/1998 01:42:00	18/01/1998 05:49:00
S13	16/08/1997 18:55:00	17/08/1997 11:52:00
S05	16/08/2012 01:48:00	16/08/2012 09:40:00
S03	22/01/2014 05:24:00	22/01/2014 11:10:00
S17	22/04/2011 12:50:00	22/04/2011 16:03:00
S10	06/06/2018 13:37:00	07/06/2018 09:24:00
S05	13/02/2007 19:14:00	13/02/2007 23:41:00
S04	05/01/2008 15:03:00	05/01/2008 16:35:00
S17	15/12/1995 09:28:00	15/12/1995 14:42:00
S02	14/04/2002 19:14:00	15/04/2002 06:24:00
S12	17/05/2015 01:37:00	17/05/2015 09:43:00
S17	13/02/2003 13:52:00	14/02/2003 02:48:00
S16	14/09/2014 03:30:00	15/09/2014 01:32:00
S11	13/05/2006 21:35:00	14/05/2006 16:42:00
S06	30/11/2000 16:33:00	01/12/2000 05:22:00
S03	09/06/2009 11:43:00	09/06/2009 14:01:00
S08	08/04/1995 03:53:00	08/04/1995 09:09:00
S17	04/03/1995 09:01:00	05/03/1995 04:15:00
S18	30/08/1996 00:43:00	30/08/1996 01:15:00
S18	02/07/2000 04:44:00	02/07/2000 08:09:00
S08	18/04/2001 07:46:00	18/04/2001 17:14:00
S03	27/12/2011 05:24:00	27/12/2011 22:00:00
S12	27/04/2009 15:48:00	28/04/2009 06:37:00
S07	26/05/2001 03:47:00	26/05/2001 15:49:00
S04	11/04/2018 05:30:00	11/04/2018 20:16:00
S09	03/08/2003 03:18:00	03/08/2003 23:48:00
S09	01/04/2003 00:55:00	01/04/2003 19:22:00
S01	06/01/2016 21:16:00	07/01/2016 05:10:00
S06	08/02/2008 14:33:00	08/02/2008 15:37:00
S15	02/04/1997 16:46:00	03/04/1997 02:20:00
S07	03/04/2006 01:54:00	03/04/2006 21:10:00
S18	28/02/2013 04:29:00	28/02/2013 19:10:00
S01	27/08/2007 15:50:00	28/08/2007 14:21:00
S03	08/12/2008 23:10:00	09/12/2008 12:49:00
S13	03/04/2006 22:45:00	04/04/2006 00:00:00
S14	08/12/2005 05:56:00	08/12/2005 12:13:00
S13	16/11/2002 13:38:00	16/11/2002 15:14:00
